file_name,threshold,graph_length,bschema_length,iterations,runtime
dflexlibs_multizone.ttl,0,629,104,0,0.21152877807617188
bldg_brick_anon.ttl,0,173518,2735,0,74.46037673950195
bldg_223p_anon.ttl,0,144225,365,0,65.32264614105225
bldg11.ttl,0,8618,136,0,2.411979913711548
b59.ttl,0,38982,560,0,9.222656011581421
TUC_building.ttl,0,1855,102,0,0.5018219947814941
dflexlibs_multizone.ttl,0.3,629,104,1,0.2833900451660156
bldg_brick_anon.ttl,0.3,173518,2977,2,136.90220499038696
bldg_223p_anon.ttl,0.3,144225,456,2,90.30582308769226
bldg11.ttl,0.3,8618,138,1,4.35643196105957
b59.ttl,0.3,38982,1465,19,142.27298188209534
TUC_building.ttl,0.3,1855,104,1,0.9461297988891602
dflexlibs_multizone.ttl,0.5,629,124,1,0.3146219253540039
bldg_brick_anon.ttl,0.5,173518,3546,7,506.05408120155334
bldg_223p_anon.ttl,0.5,144225,2393,19,939.4259889125824
bldg11.ttl,0.5,8618,167,2,8.958561897277832
b59.ttl,0.5,38982,3460,19,202.06909203529358
TUC_building.ttl,0.5,1855,171,3,2.4863829612731934
dflexlibs_multizone.ttl,0.7,629,198,3,0.7727081775665283
bldg_brick_anon.ttl,0.7,173518,60080,19,1553.4685111045837
bldg_223p_anon.ttl,0.7,144225,6402,19,798.0133879184723
bldg11.ttl,0.7,8618,172,2,6.366683006286621
b59.ttl,0.7,38982,1836,8,62.69407105445862
TUC_building.ttl,0.7,1855,204,4,2.0776679515838623
